model,harness,model_harness,eval_name,round,trial_index,model_name_result,harness_result,passed,score,duration_s,timed_out,oom_detected,oom_restarts,n_turns,total_cost,total_tokens,result_path,source_result_json_path,source_prefix,eval_type,kit,assay_type,metadata_kit,task_family,time_horizon,grader_type,data_node_count,task_chars,has_failure_modes,failure_mode_count,instance_id
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002c_spike_in_organism_biochemistry,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.6,263.04,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002c_spike_in_organism_biochemistry__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002c_spike_in_organism_biochemistry_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,5126,False,0,zebrafish_002c_spike_in_organism_biochemistry__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002c_spike_in_organism_biochemistry,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.6,253.04,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002c_spike_in_organism_biochemistry__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002c_spike_in_organism_biochemistry_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,5126,False,0,zebrafish_002c_spike_in_organism_biochemistry__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002d_library_qc_triage,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.75,164.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002d_library_qc_triage__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002d_library_qc_triage_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3378,False,0,zebrafish_002d_library_qc_triage__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002d_library_qc_triage,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.75,156.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002d_library_qc_triage__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002d_library_qc_triage_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3378,False,0,zebrafish_002d_library_qc_triage__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002d_library_qc_triage,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.75,169.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002d_library_qc_triage__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002d_library_qc_triage_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3378,False,0,zebrafish_002d_library_qc_triage__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002e_igg_control_interpretation,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.75,505.15,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002e_igg_control_interpretation__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002e_igg_control_interpretation_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3143,False,0,zebrafish_002e_igg_control_interpretation__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002e_igg_control_interpretation,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.75,224.1,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002e_igg_control_interpretation__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002e_igg_control_interpretation_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3143,False,0,zebrafish_002e_igg_control_interpretation__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002e_igg_control_interpretation,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.5,213.1,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002e_igg_control_interpretation__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002e_igg_control_interpretation_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3143,False,0,zebrafish_002e_igg_control_interpretation__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002f_duplicate_handling,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.75,336.19,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002f_duplicate_handling__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002f_duplicate_handling_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3790,False,0,zebrafish_002f_duplicate_handling__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002f_duplicate_handling,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.75,342.23,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002f_duplicate_handling__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002f_duplicate_handling_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3790,False,0,zebrafish_002f_duplicate_handling__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002f_duplicate_handling,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.75,356.25,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002f_duplicate_handling__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002f_duplicate_handling_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3790,False,0,zebrafish_002f_duplicate_handling__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002g_se_pe_duplicate_artifacts,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.75,519.31,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002g_se_pe_duplicate_artifacts__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002g_se_pe_duplicate_artifacts_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3964,False,0,zebrafish_002g_se_pe_duplicate_artifacts__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002g_se_pe_duplicate_artifacts,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.75,434.22,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002g_se_pe_duplicate_artifacts__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002g_se_pe_duplicate_artifacts_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3964,False,0,zebrafish_002g_se_pe_duplicate_artifacts__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002g_se_pe_duplicate_artifacts,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.75,292.16,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002g_se_pe_duplicate_artifacts__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002g_se_pe_duplicate_artifacts_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3964,False,0,zebrafish_002g_se_pe_duplicate_artifacts__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002h_replicate_concordance,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.625,1924.44,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002h_replicate_concordance__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002h_replicate_concordance_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,4,3223,False,0,zebrafish_002h_replicate_concordance__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002h_replicate_concordance,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.625,1793.41,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002h_replicate_concordance__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002h_replicate_concordance_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,4,3223,False,0,zebrafish_002h_replicate_concordance__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002h_replicate_concordance,r3,3,anthropic/claude-opus-4-6,claude-code,True,1.0,2349.33,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002h_replicate_concordance__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002h_replicate_concordance_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,4,3223,False,0,zebrafish_002h_replicate_concordance__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_004a_alignment_small_data,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.4,472.07,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_004a_alignment_small_data__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_004a_alignment_small_data_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3215,False,0,zebrafish_004a_alignment_small_data__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_004a_alignment_small_data,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.4,209.03,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_004a_alignment_small_data__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_004a_alignment_small_data_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3215,False,0,zebrafish_004a_alignment_small_data__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_004a_alignment_small_data,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.4,262.04,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_004a_alignment_small_data__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_004a_alignment_small_data_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,22,3215,False,0,zebrafish_004a_alignment_small_data__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005a_peak_calling_params,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.375,679.25,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005a_peak_calling_params__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005a_peak_calling_params_r1/result.json,zebrafish,procedural,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2924,False,0,zebrafish_005a_peak_calling_params__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005a_peak_calling_params,r2,2,anthropic/claude-opus-4-6,claude-code,True,1.0,670.12,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005a_peak_calling_params__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005a_peak_calling_params_r2/result.json,zebrafish,procedural,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2924,False,0,zebrafish_005a_peak_calling_params__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005a_peak_calling_params,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.375,590.08,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005a_peak_calling_params__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005a_peak_calling_params_r3/result.json,zebrafish,procedural,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2924,False,0,zebrafish_005a_peak_calling_params__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005b_chromatin_mark_comparison,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.625,174.03,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005b_chromatin_mark_comparison__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005b_chromatin_mark_comparison_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,3035,False,0,zebrafish_005b_chromatin_mark_comparison__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005b_chromatin_mark_comparison,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.625,196.03,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005b_chromatin_mark_comparison__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005b_chromatin_mark_comparison_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,3035,False,0,zebrafish_005b_chromatin_mark_comparison__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005b_chromatin_mark_comparison,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.625,171.03,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005b_chromatin_mark_comparison__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005b_chromatin_mark_comparison_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,3035,False,0,zebrafish_005b_chromatin_mark_comparison__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005c_homer_vs_macs2_concordance,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.875,1800.39,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005c_homer_vs_macs2_concordance__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005c_homer_vs_macs2_concordance_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2319,False,0,zebrafish_005c_homer_vs_macs2_concordance__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005c_homer_vs_macs2_concordance,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.5,1683.28,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005c_homer_vs_macs2_concordance__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005c_homer_vs_macs2_concordance_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2319,False,0,zebrafish_005c_homer_vs_macs2_concordance__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_005c_homer_vs_macs2_concordance,r3,3,anthropic/claude-opus-4-6,claude-code,True,1.0,1886.34,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_005c_homer_vs_macs2_concordance__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_005c_homer_vs_macs2_concordance_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,differential_expression,small,numeric_tolerance,22,2319,False,0,zebrafish_005c_homer_vs_macs2_concordance__r3
